subregion,lat,lon,elev_m,aspect
2a,46.342,7.0344,1000,N
2a,46.6839,7.0547,999,E
2a,46.4047,6.9624,1000,S
2a,46.5058,6.9289,1000,W
2a,46.5037,6.9778,1500,N
2a,46.4528,7.2613,1499,E
2a,46.4371,7.2516,1499,S
2a,46.5421,6.997,1499,W
2a,46.3667,7.0049,2001,N
2a,46.3695,7.2031,2002,E
2a,46.3829,7.1803,1999,S
2a,46.3672,7.1966,1999,W
2a,46.3806,7.1576,2356,N
2a,46.3829,7.1575,2365,S
2a,46.3806,7.1381,2378,W
2b,46.2595,7.356,999,N
2b,46.2888,7.4208,999,E
2b,46.6619,7.6526,1000,S
2b,46.6149,7.3848,999,W
2b,46.5038,8.2871,1499,N
2b,46.3374,7.8754,1499,E
2b,46.4215,7.463,1499,S
2b,46.626,7.2836,1500,W
2b,46.4305,7.3817,2000,N
2b,46.4414,7.7135,1999,E
2b,46.5471,7.7238,2000,S
2b,46.5878,7.5871,2000,W
2b,46.4177,8.0191,2500,N
2b,46.4909,8.2055,2500,E
2b,46.3426,7.2682,2500,S
2b,46.5194,7.9257,2500,W
2b,46.583,8.2166,3100,N
2b,46.4583,8.0098,3100,E
2b,46.4858,7.8961,3099,S
2b,46.6105,8.1321,3099,W
3b,46.3436,6.872,1000,N
3b,46.1741,7.4079,999,E
3b,46.07,7.0493,999,S
3b,46.1629,7.4403,1000,W
3b,46.1269,6.7384,1500,N
3b,46.2793,7.7808,1500,E
3b,46.0749,7.1947,1499,S
3b,46.0006,7.1853,1499,W
3b,46.0289,6.9011,1999,N
3b,46.0256,7.2788,2000,E
3b,46.2258,7.4889,2000,S
3b,46.0212,7.4855,2000,W
3b,45.9797,7.9144,2499,N
3b,46.1815,8.0328,2499,E
3b,46.2043,7.9715,2499,S
3b,45.8703,7.2407,2500,W
3b,45.9514,7.4886,3099,N
3b,45.9551,7.8852,3100,E
3b,45.9553,7.8272,3100,S
3b,45.9559,7.5176,3099,W
4a,46.8822,8.7096,1000,N
4a,46.777,8.1277,1000,E
4a,46.8527,8.2467,999,S
4a,46.8446,8.653,1000,W
4a,46.909,8.5068,1500,N
4a,46.9774,9.0109,1500,E
4a,46.8453,8.3351,1499,S
4a,46.9344,8.4351,1499,W
4a,46.9476,8.882,1999,N
4a,47.0153,9.035,2000,E
4a,46.2793,8.2252,1999,S
4a,46.6379,8.6255,2000,W
4a,46.5685,8.5946,2499,N
4a,46.7543,8.4514,2500,E
4a,46.7073,8.4276,2500,S
4a,46.3617,8.3368,2499,W
4a,46.7725,8.4353,3099,N
4a,46.6534,8.4233,3100,E
4a,46.7203,8.4867,3099,S
4a,46.6062,8.4094,3099,W
5a,46.2095,8.7231,1000,N
5a,46.1574,9.243,1000,E
5a,46.509,8.6943,1000,S
5a,46.1362,9.0093,1000,W
5a,46.3172,8.7483,1499,N
5a,46.4054,9.2122,1499,E
5a,46.1535,9.2072,1499,S
5a,46.2047,8.9303,1500,W
5a,46.5103,8.7758,2000,N
5a,46.5573,8.7933,1999,E
5a,46.1719,9.1819,1999,S
5a,46.3657,9.0062,1999,W
5a,46.4998,9.2153,2499,N
5a,46.4677,9.1068,2499,E
5a,46.359,9.2984,2499,S
5a,46.4617,8.4784,2500,W
5a,46.4773,9.0648,3093,N
5a,46.4123,8.471,3104,E
5a,46.4796,9.0648,3100,S
5a,46.4935,9.0327,3092,W
6a,46.8112,9.2944,1000,N
6a,46.7846,9.1232,1000,E
6a,46.7885,9.3067,999,S
6a,46.6848,9.4535,1000,W
6a,46.7614,9.0177,1499,N
6a,46.5716,9.6124,1499,E
6a,46.8532,9.9255,1500,S
6a,46.9591,9.8121,1499,W
6a,46.6155,9.7839,1999,N
6a,46.5435,9.5525,1999,E
6a,47.0281,9.848,2000,S
6a,46.6414,9.834,2000,W
6a,46.63,8.7363,2499,N
6a,46.4648,9.429,2499,E
6a,46.61,9.4833,2500,S
6a,46.3907,9.4165,2499,W
6a,46.8048,8.9698,3102,N
6a,46.8631,10.0867,3096,E
6a,46.9004,9.3434,3100,S
6a,46.7868,8.9693,3098,W
6b,46.6682,9.6195,1000,N
6b,46.9497,9.608,999,E
6b,46.8409,9.5282,999,S
6b,46.9053,9.5766,1000,W
6b,46.847,9.5645,1500,N
6b,46.8988,9.6814,1500,E
6b,46.9017,9.7603,1499,S
6b,46.8516,9.5581,1499,W
6b,46.8565,9.6567,2000,N
6b,46.7331,9.5207,1999,E
6b,46.8017,9.5791,2000,S
6b,46.7039,9.6373,2000,W
6b,46.7355,9.6321,2500,N
6b,46.7429,9.7109,2499,E
6b,46.741,9.6945,2500,S
6b,46.7003,9.5914,2501,W
6b,46.7422,9.6323,2789,E
6b,46.738,9.6158,2867,S
6b,46.7381,9.6125,2860,W
7,47.1533,9.1381,1000,N
7,47.2084,9.6053,999,E
7,47.3313,9.2662,1000,S
7,47.2184,9.1435,1000,W
7,46.9172,9.4129,1500,N
7,47.0238,9.3642,1499,E
7,46.9877,9.3695,1500,S
7,47.0855,9.1623,1500,W
7,46.9861,9.1887,1999,N
7,47.1014,9.4296,2000,E
7,46.9038,9.4092,1999,S
7,46.9003,9.0546,2000,W
7,46.9536,9.388,2505,N
7,46.8889,9.0707,2499,E
7,46.8799,9.0704,2500,S
7,46.8914,9.202,2499,W
7,46.8666,9.0503,2903,N
7,46.8786,9.1556,2953,E
7,46.8667,9.047,2976,S
7,46.8755,9.0637,3036,W
8,46.2009,10.1128,998,N
8,46.2098,10.1197,1000,E
8,46.3221,9.479,999,S
8,46.3201,9.4692,999,W
8,46.2102,10.1003,1499,N
8,46.382,10.0664,1499,E
8,46.6308,10.4673,1499,S
8,46.3391,10.0741,1499,W
8,46.4362,9.7469,2000,N
8,46.7427,10.228,2000,E
8,46.7766,10.315,1999,S
8,46.6109,10.1886,1999,W
8,46.6566,9.9654,2500,N
8,46.8352,10.1246,2499,E
8,46.5777,9.8704,2500,S
8,46.5022,10.0266,2499,W
8,46.2906,9.7147,3099,N
8,46.3852,10.2162,3100,E
8,46.3715,9.8286,3100,S
8,46.3607,9.9126,3101,W
