id,tile,row,col,elev,aspect,slope,lat,lon,e_lv95,n_lv95,band,asp_c,slope_cls
t2_1600_N_20-30_0,2,570,581,1592.4,10.8,24.9,46.567174,7.769603,2625375.0,1157375.0,1600,N,20-30
t2_1600_NE_20-30_1,2,643,390,1547.6,35.7,25.7,46.403108,7.14769,2577625.0,1139125.0,1600,NE,20-30
t2_1600_NE_20-30_2,2,574,566,1588.1,66.3,26.6,46.55831,7.720645,2621625.0,1156375.0,1600,NE,20-30
t2_1600_E_20-30_3,2,548,539,1517.5,82.4,25.2,46.616965,7.63283,2614875.0,1162875.0,1600,E,20-30
t2_1600_SE_20-30_4,2,661,350,1625.5,127.7,24.0,46.362219,7.017973,2567625.0,1134625.0,1600,SE,20-30
t2_1600_S_20-30_5,2,642,583,1531.4,159.0,28.8,46.405236,7.775119,2625875.0,1139375.0,1600,S,20-30
t2_1600_S_20-30_6,2,659,382,1560.8,186.2,26.2,46.367056,7.121894,2575625.0,1135125.0,1600,S,20-30
t2_1600_S_20-30_7,2,673,544,1603.4,201.9,22.9,46.335825,7.648063,2616125.0,1131625.0,1600,S,20-30
t2_1600_SW_20-30_8,2,605,481,1635.8,243.0,26.7,46.488942,7.443525,2600375.0,1148625.0,1600,SW,20-30
t2_1600_W_20-30_9,2,614,520,1596.3,265.7,24.5,46.468627,7.57046,2610125.0,1146375.0,1600,W,20-30
t2_1600_NW_20-30_10,2,580,537,1561.8,295.4,24.2,46.545012,7.626054,2614375.0,1154875.0,1600,NW,20-30
t2_1600_N_20-30_11,2,540,486,1565.8,337.7,26.2,46.635118,7.459859,2601625.0,1164875.0,1600,N,20-30
t2_1600_N_30-42_12,2,583,615,1601.8,353.9,36.9,46.537563,7.880227,2633875.0,1154125.0,1600,N,30-42
t2_1600_NE_30-42_13,2,533,738,1596.0,23.2,41.1,46.64774,8.282806,2664625.0,1166625.0,1600,NE,30-42
t2_1600_NE_30-42_14,2,521,724,1594.9,62.5,34.6,46.675054,8.237489,2661125.0,1169625.0,1600,NE,30-42
t2_1600_E_30-42_15,2,705,415,1656.6,92.0,38.9,46.263856,7.229501,2583875.0,1123625.0,1600,E,30-42
t2_1600_SE_30-42_16,2,704,431,1647.2,129.7,32.8,46.26619,7.281375,2587875.0,1123875.0,1600,SE,30-42
t2_1600_S_30-42_17,2,673,596,1576.5,158.7,37.0,46.335388,7.816896,2629125.0,1131625.0,1600,S,30-42
t2_1600_S_30-42_18,2,511,497,1613.0,175.8,31.8,46.700324,7.49584,2604375.0,1172125.0,1600,S,30-42
t2_1600_SW_30-42_19,2,566,580,1517.8,217.9,31.6,46.576179,7.766396,2625125.0,1158375.0,1600,SW,30-42
t2_1600_SW_30-42_20,2,571,498,1521.9,247.1,36.2,46.565389,7.49896,2604625.0,1157125.0,1600,SW,30-42
t2_1600_W_30-42_21,2,566,517,1595.7,262.0,35.1,46.576584,7.560937,2609375.0,1158375.0,1600,W,30-42
t2_1600_NW_30-42_22,2,520,720,1613.7,300.2,37.1,46.677394,8.224454,2660125.0,1169875.0,1600,NW,30-42
t2_1600_N_30-42_23,2,646,585,1685.9,338.7,35.2,46.396221,7.781564,2626375.0,1138375.0,1600,N,30-42
t2_1600_N_42-55_24,2,544,637,1658.9,3.6,47.5,46.624968,7.952754,2639375.0,1163875.0,1600,N,42-55
t2_1600_NE_42-55_25,2,514,520,1548.5,29.7,47.9,46.693515,7.571005,2610125.0,1171375.0,1600,NE,42-55
